csv_row,csv_title,api_match_count,api_listing_ids,api_states
26,"Personalized Christmas Table Runner, Festive Family Holiday Decor, 4 Designs, Optional Napkins",1,4554784478,active
27,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",1,4554783618,active
28,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Centerpiece (Optional Napkins)",1,4554782140,active
29,"Personalized Thanksgiving Table Runner, Grateful Hearts Gather Fall Decor",1,4554777202,active
30,"Personalized Chicken Flock Tote Bag, Custom Name Design, Farmhouse Shopping Bag",1,4554713122,active
31,"Sherpa Blanket, Custom Name Fall Leaves Throw, Personalized Cozy Fleece, Autumn Home Decor",2,"4554701147,4547714523","active,active"
32,"Capybara Raccoon Ceramic Mug, Whimsical Animal Coffee Cup, Funny Coworker Boss Gift",2,"4554700261,4536716614","active,edit"
33,"Personalized Snowflake Monogram Tote Bag, Custom Initial Christmas Gift",1,4554699463,active
34,"Funny Opossum Christmas Tote Bag, Santa's Helper Canvas, Animal Lover",0,,
35,"Pet Memorial Plaque Personalized, Custom Watercolor Portrait, Dog Cat Sympathy Gift, Acrylic Wood Stand",2,"4554710012,4537211768","active,active"
36,"Canvas Tote Bag, Too for Coop Chickens, Farmhouse Shopping Bag",1,4554708636,active
37,"Personalized Hanukkah Pillow, Faux Suede Throw Pillow with Custom Gift Tag, Jewish Holiday Decor, Hanukkah Home Accent",2,"4554706846,4554667392","active,active"
38,"Personalized Faux Suede Christmas Pillow, Plaid Holiday Decor Gift Tag",1,4554706420,active
39,"Personalized Faux Suede Christmas Pillow with Gift Tag, Plaid Holiday Decor",1,4554684813,active
40,"Personalized Hanukkah Pillow, Faux Suede Throw Pillow with Custom Gift Tag, Jewish Holiday Decor, Hanukkah Home Accent",2,"4554706846,4554667392","active,active"
41,"Personalized Christmas Doormat, Custom Family Welcome Mat, Holiday Plaid Rug Designs",1,4554623150,active
42,"Custom Hanukkah Doormat, Personalized Family Welcome Rug, Blue Menorah Dreidel Design",1,4554604387,active
43,"Personalized Hanukkah Sherpa Fleece Blanket, Festival of Lights Gift, Blue Gold Designs",2,"4559441906,4554616404","active,active"
44,"Personalized Sherpa Fleece Blanket, Custom Christmas Throw, Elf Reindeer Plaid Designs",2,"4554616070,4553348716","active,active"
45,"Personalized Christmas Tote Bag, Reusable Festive Bag, Festive Design, Custom Tag",1,4554601577,active
46,"Personalized Hanukkah Tote Bag, Reusable Jewish Holiday Accessory, Custom Tag",1,4554600263,active
47,"Personalized Hanukkah Tote Bag, Reusable Jewish Gift Wrap",1,4553966891,active
48,"Personalized Christmas Tote Bag, Reusable Gift Bag, Festive Design (3 Sizes)",1,4553958504,active
49,"Personalized Thanksgiving Harvest Table Runner, Custom Family Fall Decor",1,4553914929,active
50,"Halloween Table Runner, Ghost Vampire Mummy Fall Decor, Personalized Autumn Centerpiece",1,4553425287,active
51,"Personalized Hanukkah Sherpa Fleece Blanket, Festival of Lights Throw, Two Designs",1,4553377454,active
52,"Personalized Sherpa Fleece Blanket, Custom Christmas Throw, Elf Reindeer Plaid Designs",2,"4554616070,4553348716","active,active"
53,"Custom Hanukkah Doormat, Personalized Jewish Holiday Welcome Rug, Menorah Dreidel Design",1,4553309630,active
54,"Personalized Christmas Doormat, Custom Family Welcome Mat, Holiday Designs",1,4552226059,active
55,"Personalized Christmas Table Runner, Family Name Holiday Decor, 4 Festive Designs",1,4551770695,active
56,"Personalized Hanukkah Table Runner, Custom Jewish Holiday Decor, Matching Napkins",1,4551087235,active
57,"Personalized Ceramic Christmas Ornament, Woodland Animals Family Keepsake (2026)",1,4548561817,active
58,"Personalized First Christmas Together Ornament, Woodland Animals, 2026 Keepsake (Round or Star)",1,4548547637,active
59,"Personalized Hanukkah Ceramic Ornament, Woodland Animals Shine Bright Keepsake",1,4548272258,active
60,"Hanukkah Ornament 2026, Ceramic Woodland Animal Menorah Keepsake",1,4548249667,active
61,"Custom Hanukkah Garden Flag, Woodland Animals Menorah Porch Decor",1,4548114403,active
62,"Woodland Animals Hanukkah Tote Bag, Reusable Festival of Lights Shopping Bag",1,4548240255,active
63,"Personalized Hanukkah Mug, Woodland Animal Jewish Holiday Gift",1,4548244100,active
64,"Personalized Hanukkah Doormat, Woodland Animals Menorah Welcome Mat, Jewish Holiday Porch Decor",1,4548170754,active
65,"Custom Autumn Garden Flag, Woodland Animals Family Name Porch Decor",1,4548063219,active
66,"Sherpa Blanket, Custom Name Fall Leaves Throw, Personalized Cozy Fleece, Autumn Home Decor",2,"4554701147,4547714523","active,active"
67,"Personalized Thanksgiving Woodland Animals Garden Flag, Custom Family Name Fall Porch Decor",1,4547703408,active
68,"Thanksgiving Raccoon Possum Pie Garden Flag, Funny Autumn Fall Outdoor Decor",1,4547688830,active
69,"Personalized Cat Christmas Garden Flag, Holiday Yard Decor",1,4547678576,active
70,"Personalized Pet Christmas Garden Flag, Santa Hat Portrait, Double-Sided Holiday Decor",1,4547573036,active
71,"Funny Possum Christmas Garden Flag, Santa's Helper Yard Decor, Double Sided Holiday Outdoor Flag",0,,
72,"Custom Chicken Mom Shirt, Personalized Flock Tee, Backyard Chicken Keeper Apparel",1,4547136042,active
73,"Personalized Chicken Tote Bag, Custom Flock Farmhouse Shopping Bag",1,4547129630,active
74,"Customizable Chicken Flock Sweatshirt, Personalized Farm Crewneck, Backyard Chicken Keeper Apparel",1,4547117910,active
75,"Too Cool For Coop Chicken Mug, Funny Farmhouse Ceramic Cup, 11 Oz",1,4547082306,active
76,"Too for Coop Chicken Shirt, Funny Farm Animal Graphic Tee",1,4547057899,active
77,"Customizable Chicken Flock Mug, Farmhouse Coffee Cup, Backyard Chicken Lover Gift",1,4546990376,active
78,"Custom Pet Memorial Garden Flag, Watercolor Portrait Remembrance Decor",1,4546958384,active
79,"Custom Chicken Garden Flag, Personalized Flock Yard Decor, Farmhouse Backyard Banner",1,4546923012,active
80,"Chicken Garden Flag, Too Cool for the Coop Double Sided Flag, Funny Backyard Chicken Decor, Farmhouse Yard Flag, Chicken Lover Gift",2,"4555320738,4546898721","active,active"
81,"Too for the Coop Chicken Tote Bag, Farmhouse Canvas Shopping Bag",1,4546902358,active
82,"Chicken Canvas Print, Too Cool for the Coop Wall Art, Funny Farmhouse Chicken Decor, Backyard Chicken Lover Gift, Optional Personalization",1,4546875991,active
83,"Too Cool for the Coop Chicken Shirt, Funny Rooster Graphic Tee, Backyard Farmer Apparel",1,4546858787,active
84,"Customizable Chicken Flock T-Shirt, Backyard Chicken Lover Apparel, Homestead Tee",1,4545848047,active
85,"Customizable Chicken Coop T-Shirt, Farmhouse Flock Apparel, Comfort Colors Tee",1,4542880582,active
86,"Personalized Snowflake Monogram Tote Bag, Custom Initial Christmas Shopping Bag",1,4541495675,active
87,"Snowflake Monogram Mug, Personalized Christmas Coffee Cup, Custom Initial Holiday Mug, Coworker Boss Gift",1,4541479929,active
88,"Opossum Raccoon Pie Dad Hat, Funny Thanksgiving Baseball Cap, Fall Animal Lover Gift",1,4539639671,active
89,"Opossum Raccoon Pie Sweatshirt, Funny Thanksgiving Crewneck, Fall Animal Lover Gift",1,4539637872,active
90,"Opossum Raccoon Pie Shirt, Funny Thanksgiving Graphic Tee, Fall Animal Lover Gift",1,4539624952,active
91,"Funny Opossum Santa's Helper Christmas Shirt, Wildlife Animal Lover Tee",0,,
92,"Opossum Christmas Crewneck, Funny Santa's Helper Wildlife Sweatshirt",0,,
93,"Opossum Christmas Mug, Funny Santa's Helper Coffee Cup, Coworker Boss Gift, Animal Lover Mug",0,,
94,"Funny Opossum Christmas Tote Bag, Santa's Helper Canvas, Animal Lover Bag",0,,
95,"Hedgehog Christmas Ornament, Acrylic Woodland Animal Decor, Funny Cozy Winter Gift, Coworker Boss Gift",1,4539111045,active
96,"Possum Mug, Playing Dead Is Your Cardio, Custom Name Funny Opossum Coffee Cup, Personalized Ceramic Gift",1,4537963209,active
97,"Possum Sweatshirt, Personalized Playing Dead Is Your Cardio, Custom Name Opossum Crewneck, Animal Lover Gift",1,4537944517,active
98,"Angel Capybara Mug, Heaven Sent Mostly Coffee Cup, Ceramic Accent Mug",1,4537837936,active
99,"Angel Capybara Sweatshirt, Heaven Sent Mostly Funny Crewneck, Cozy Animal Lover Pullover",1,4537770769,active
100,"Capybara Halloween Mug, Witch Ghost Vampire Coffee Cup, Black Ceramic Spooky Gift",1,4537361779,active
101,"Pet Memorial Plaque Personalized, Custom Watercolor Portrait, Dog Cat Sympathy Gift, Acrylic Wood Stand",2,"4554710012,4537211768","active,active"
102,"Capybara Raccoon Mug, Trash Panda Funny Coffee Cup, Whimsical Animal Gift, Coworker Boss Gift",1,4537153115,active
103,"Capybara Halloween Shirt, Funny Ghost Witch Pumpkin Tee, Spooky Season Comfort Colors Shirt",5,"4555323242,4555310663,4555322516,4555309797,4536671049","active,active,active,active,active"
104,"Custom Pet Christmas Tree Skirt, Personalized Dog Cat Holiday Decor",1,4536659890,active
105,"Woodland Animals Sweatshirt, Capybara Raccoon Possum Crewneck, Cozy Nature Lover Pullover",1,4536275746,active
106,"Pet Memorial Blanket Personalized, Custom Pet Portrait Woven Throw, Cotton Keepsake Sympathy Gift",1,4535853531,active
107,"Custom Pet Portrait Memorial Keychain, Acrylic Pet Loss Keepsake (Digital Proof)",1,4534663924,active
108,"Raccoon Possum Christmas Sweatshirt, Funny Caffeine Denial Crewneck, Holiday Animal Pullover",1,4534116806,active
109,"Funny Raccoon Opossum Christmas Mug, Caffeine Denial Coffee Cup, Coworker Boss Gift",1,4534095250,active
110,"Raccoon Opossum Christmas Lights Shirt, Funny Caffeine Denial Holiday Tee",1,4534082762,active
111,"Personalized Pet Memorial Plaque, Custom Acrylic Dog Cat Loss Keepsake",1,4534053500,active
112,"Possum Raccoon Canvas Art, We Heard Pie Funny Print, Animal Kitchen Wall Decor",1,4533603855,active
113,"Possum Raccoon Pie Sweatshirt, Funny Wildlife Animal Crewneck Pullover",1,4533604864,active
114,"Possum Raccoon Pie Graphic Tee, Funny Wildlife Animal Shirt",1,4533586183,active
115,"Possum Raccoon Pie Coffee Mug, Funny Black Ceramic Cup, Animal Lover Gift",1,4533570901,active
116,"Pet Memorial Plaque Personalized, Custom Photo Slate Sign, Pet Loss Sympathy Keepsake Decor",1,4533501256,active
117,"Personalized Pet Memorial Ornament, Custom Photo Acrylic Keepsake, Dog Cat Sympathy Gift",1,4533470705,active
118,"Capybara Tote, Embrace Chaos Art Parody Shopping Bag, Cotton Canvas Tote",2,"4555324692,4533101951","active,active"
119,"Capybara Scream Canvas, Museum Parody Art Print, Embrace Chaos Wall Decor",1,4533108764,active
120,"Funny Mug, Capybara Scream Mug, Embrace Chaos Art Parody Coffee Cup, Coworker Boss Gift",1,4533104890,active
121,"Funny Capybara The Scream Parody T Shirt, Embrace Chaos Graphic Tee",1,4533082639,active
122,Personalized Pet Photo Nutcracker Ornament: Custom Cat or Dog Christmas Decoration,1,4532255496,active
123,Personalized Pet Nutcracker Christmas Mug: Custom Dog or Cat Coffee Cup,1,4532226644,active
124,Personalized Pet Nutcracker Glass Ornament: Custom Dog Cat Christmas Keepsake,1,4532123027,active
125,Custom Pet Circus Sweatshirt: Vintage Carnival Dog or Cat Lover Retro Apparel,1,4531191545,active
126,"Personalized Vintage Circus Pet T-Shirt, Custom Pet Photo Tee, Comfort Colors Shirt, FunHaus Style",1,4530548021,active
127,"Custom Pet Portrait Canvas: Vintage Circus Dog Art, Personalized Name Print",1,4530540146,active
128,Custom Pet Photo Tote Bag: Personalized Black Canvas Tote,1,4527968820,active
129,"Custom Pet Portrait Canvas Wall Art: Personalized Dog, Cat Memorial Gallery Wrapped Print",1,4527958576,active
130,Capybara Shirt: Humorous Vitruvian Yoga Animal Graphic Tee,1,4526288451,active
131,"Capybara Sweatshirt: Meditation Animal Lover Yoga Zen Design, Vitruvian Motif",1,4526286810,active
132,Capybara Art Print: Vitruvian Renaissance Funny Animal Science Humor,1,4526275896,active
133,"Capybara Tote Bag: Funny Animal Canvas Tote, Vitruvian Man",1,4526264100,active
134,"Capybara Mug – Funny Animal Lover Gift, Zen Office Drinkware, Vitruvian Man",1,4526243853,active
135,Funny Capybara American Gothic Parody T Shirt: Vintage Farmhouse Humor Cotton Tee,1,4525146950,active
136,Funny Capybara American Gothic Sweatshirt – Vintage Art Parody Crewneck,1,4525144730,active
137,"Capybara Sweatshirt – Funny Rodent Art Apparel, American Gothic Parody",1,4524820768,active
138,"Capybara T-Shirt: Vintage Art Parody Farmhouse Humor Cotton Tee, American Gothic",1,4524815892,active
139,"Capybara Journal: American Gothic Parody Notebook, Funny Farmhouse Art Writing Gift",1,4524800291,active
140,Funny Capybara American Gothic Tote Bag: Farmhouse Art Parody Canvas Tote,1,4524721772,active
141,"Capybara Print, Museum Creation of Adam Parody Wall Art, Funny Renaissance Gallery Wrapped Canvas",1,4524703715,active
142,"Capybara Tote Bag: Renaissance Art Parody Canvas Tote, Funny Museum Humor",1,4524688249,active
143,"Capybara Sweatshirt, Museum Humor Crewneck, Animal Lover Gift, Renaissance Art",1,4524668247,active
144,"Capybara Tank Top | Renaissance Art Parody Sleeveless Shirt, Creation of Adam",1,4524665296,active
145,Capybara Shirt Renaissance Art Parody Tee | Capybara Lover Gift | Michelangelo Inspired Graphic T-Shirt,1,4524652265,active
146,"Personalized Journal The Adventures of Journal, Capybara Don't Worry, Be Capy, Custom Notebook",0,,
147,"Capybara Sweatshirt, Don't Worry Be Capy Crewneck Sweatshirt | Retro Beach Sunset",0,,
148,"Capybara Shirt Don't Worry, Be Capy Funny Capybara Beach Garment Dyed Cotton T-Shirt",0,,
149,"Personalized Pet Photo Desk Mat, Custom Dog or Cat Mouse Pad, Office Gift",1,4521429355,active
150,"Personalized Pet Portrait Mouse Pad, Custom Photo Desk Decor, Realistic Memorial Gift",1,4521395216,active
151,"Custom Watercolor Pet Portrait on Gallery Wrapped Canvas, Personalized Dog or Cat Wall Art",1,4518056943,active
152,"Custom Framed Watercolor Pet Portrait on Wrapped Canvas, Personalized Dog or Cat Wall Art",1,4518052788,active
153,"Funny Capybara Tee Personalized ""is on Capy Time"" Cotton T Shirt",0,,
154,Vintage Capybara Travel Tote Bag: Paradise Vibes Canvas Tote,1,4517534127,active
155,Vintage Capybara Travel Poster: Tropical Beach Paradise Canvas Wrap,1,4517533489,active
156,Capybara Tee Vintage Travel Capybara Cotton T-Shirt,1,4517528053,active
157,"Personalized Sepia Pet Portrait Canvas, Custom Dog Cat Wall Art",1,4517149988,active
158,"Personalized Pet Sketch Portrait, Sepia Toned Dog Cat Canvas Wall Art",1,4517149897,active
159,"Personalized Vector Pet Print on Gallery Wrapped Canvas, Custom Dog or Cat Wall Art",1,4517113028,active
160,Personalized Framed Vector Pet Portrait on Gallery Wrapped Canvas,1,4517104904,active
161,"Personalized Art Deco Pet Portrait, Framed Dog Cat Canvas Wall Art",1,4515331146,active
162,Personalized Pet Portrait Vector Graphic Canvas Tote,1,4515317283,active
163,Personalized Pet Portrait Vintage Botanical Pattern Canvas Tote,1,4515298244,edit
164,Personalized Framed Royal Pet Portrait on Gallery Wrapped Canvas,2,"4555873876,4514843923","active,active"
165,"Personalized Framed Art Print on Gallery Wrapped Canvas, Custom Dog or Cat Wall Art",1,4514737638,active
166,"Personalized Vintage Botanical Pet Portrait, Custom Dog Cat Canvas Wall Art",1,4514726518,active
167,"Personalized Vintage Botanical Portrait on Gallery Wrapped Canvas, Custom Dog or Cat Wall Art",1,4514701886,active
168,Personalized Art Print Pet Portrait on Gallery Wrapped Canvas,1,4514657407,active
